Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 395, Objective: 0.022925dB, Best: 0.022925dB
Iteration 396, Objective: 0.022897dB, Best: 0.022897dB
Iteration 397, Objective: 0.022866dB, Best: 0.022866dB
Iteration 398, Objective: 0.022846dB, Best: 0.022846dB
Iteration 399, Objective: 0.022836dB, Best: 0.022836dB
Iteration 400, Objective: 0.022816dB, Best: 0.022816dB
Iteration 401, Objective: 0.022800dB, Best: 0.022800dB
Iteration 402, Objective: 0.022782dB, Best: 0.022782dB
Iteration 403, Objective: 0.022763dB, Best: 0.022763dB
Iteration 404, Objective: 0.022756dB, Best: 0.022756dB
Iteration 405, Objective: 0.022746dB, Best: 0.022746dB
Iteration 406, Objective: 0.022740dB, Best: 0.022740dB
Iteration 407, Objective: 0.022728dB, Best: 0.022728dB
Iteration 408, Objective: 0.022719dB, Best: 0.022719dB
Iteration 409, Objective: 0.022711dB, Best: 0.022711dB
Iteration 410, Objective: 0.022698dB, Best: 0.022698dB
Iteration 411, Objective: 0.022683dB, Best: 0.022683dB
Iteration 412, Objective: 0.022644dB, Best: 0.022644dB
Iteration 413, Objective: 0.022613dB, Best: 0.022613dB
Iteration 414, Objective: 0.022571dB, Best: 0.022571dB
Iteration 415, Objective: 0.022562dB, Best: 0.022562dB
Iteration 416, Objective: 0.022501dB, Best: 0.022501dB
Iteration 417, Objective: 0.022475dB, Best: 0.022475dB
